# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu_atom/cycles/Pu'
# Event count (approx.): 4284000
#
# Overhead  Command  Shared Object         Symbol                            
# ........  .......  ....................  ..................................
#
     0.02%  ml       libstdc++.so.6.0.29        [.] std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     0.02%  ml       ld-linux-x86-64.so.2       [.] _dl_map_object_from_fd
     0.02%  ml       libc.so.6                  [.] wctob
     0.02%  ml       ml                         [.] ML::LayerData::loadData(ML::Path)
     0.02%  ml       ld-linux-x86-64.so.2       [.] _dl_map_object_deps
     0.02%  ml       libc.so.6                  [.] malloc_consolidate
     0.02%  ml       libstdc++.so.6.0.29        [.] std::ostream::sentry::sentry(std::ostream&)
     0.01%  ml       ld-linux-x86-64.so.2       [.] _dl_map_object
     0.01%  ml       libc.so.6                  [.] __GI__IO_un_link.part.0
     0.01%  ml       libc.so.6                  [.] _IO_link_in
     0.01%  ml       ld-linux-x86-64.so.2       [.] _dl_name_match_p
     0.01%  ml       libstdc++.so.6.0.29        [.] std::locale::id::_M_id() const
     0.01%  ml       libc.so.6                  [.] fclose@@GLIBC_2.2.5
     0.01%  ml       libc.so.6                  [.] __memmove_avx_unaligned_erms
     0.01%  ml       libstdc++.so.6.0.29        [.] std::ctype<wchar_t>::_M_initialize_ctype()
     0.01%  ml       libc.so.6                  [.] new_do_write
     0.01%  ml       libc.so.6                  [.] __strcmp_avx2
     0.01%  ml       ld-linux-x86-64.so.2       [.] _dl_fixup
     0.01%  ml       libc.so.6                  [.] _IO_fflush
     0.01%  ml       libstdc++.so.6.0.29        [.] std::locale::locale()
     0.01%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::basic_filebuf()
     0.01%  ml       libc.so.6                  [.] _IO_file_fopen@@GLIBC_2.2.5
     0.01%  ml       libstdc++.so.6.0.29        [.] operator new(unsigned long)
     0.01%  ml       libc.so.6                  [.] sysmalloc
     0.01%  ml       libstdc++.so.6.0.29        [.] std::ostream::put(char)
     0.01%  ml       libc.so.6                  [.] _IO_file_close_it@@GLIBC_2.2.5
     0.01%  ml       libc.so.6                  [.] _IO_file_overflow@@GLIBC_2.2.5
     0.01%  ml       libc.so.6                  [.] ptmalloc_init.part.0
     0.01%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::close()
     0.01%  ml       libstdc++.so.6.0.29        [.] std::ios_base::ios_base()
     0.01%  ml       libstdc++.so.6.0.29        [.] std::basic_ios<char, std::char_traits<char> >::_M_cache_locale(std::locale const&)
     0.01%  ml       ld-linux-x86-64.so.2       [.] _dl_cache_libcmp
     0.01%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.01%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::xsgetn(char*, long)
     0.01%  ml       libc.so.6                  [.] __btowc
     0.01%  ml       libstdc++.so.6.0.29        [.] std::ios_base::_M_init()
     0.01%  ml       libstdc++.so.6.0.29        [.] std::basic_ios<char, std::char_traits<char> >::init(std::basic_streambuf<char, std::char_traits<char> >*)
     0.01%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::ctype<char> >(std::locale const&)
     0.01%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
     0.01%  ml       libstdc++.so.6.0.29        [.] std::locale::operator=(std::locale const&)
     0.01%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
     0.01%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::open(char const*, std::_Ios_Openmode)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::_M_terminate_output()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<char> const& std::use_facet<std::ctype<char> >(std::locale const&)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::istream::read(char*, long)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > const& std::use_facet<std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > > >(std::locale const&)
     0.00%  ml       libc.so.6                  [.] __strstr_sse2
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::~locale()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::istream::sentry::sentry(std::istream&, bool)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::numpunct<char>::_M_initialize_numpunct(__locale_struct*)
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_runtime_resolve_xsavec
     0.00%  ml       libc.so.6                  [.] __fopen_internal
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::is_open() const
     0.00%  ml       libc.so.6                  [.] unlink_chunk.constprop.0
     0.00%  ml       libc.so.6                  [.] _IO_file_open
     0.00%  ml       libc.so.6                  [.] _IO_no_init
     0.00%  ml       libc.so.6                  [.] _IO_old_init
     0.00%  ml       libc.so.6                  [.] __GI___libc_cleanup_push_defer
     0.00%  ml       libc.so.6                  [.] __overflow
     0.00%  ml       libc.so.6                  [.] _IO_setb
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::close()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::_M_destroy_internal_buffer()
