# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu_atom/cycles/Pu'
# Event count (approx.): 4284000
#
# Overhead  Command  Shared Object         Symbol                            
# ........  .......  ....................  ..................................
#
     0.00%  ml       ld-linux-x86-64.so.2       [.] rtld_calloc
     0.00%  ml       libc.so.6                  [.] __memrchr_ifunc
     0.00%  ml       ml                         [.] ML::FlattenLayer::~FlattenLayer()
     0.00%  ml       libc.so.6                  [.] __tunable_get_val@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] __gnu_cxx::stdio_sync_filebuf<char, std::char_traits<char> >::sync()
     0.00%  ml       libstdc++.so.6.0.29        [.] fflush@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] putc@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::chrono::_V2::steady_clock::now()
     0.00%  ml       ml                         [.] .plt
     0.00%  ml       ml                         [.] ML::SoftmaxLayer::allocLayer()
     0.00%  ml       libc.so.6                  [.] __init_misc
     0.00%  ml       libc.so.6                  [.] __strchrnul_ifunc
     0.00%  ml       libc.so.6                  [.] __uselocale
     0.00%  ml       libc.so.6                  [.] __wcscmp_ifunc
     0.00%  ml       libc.so.6                  [.] memset
     0.00%  ml       libc.so.6                  [.] strlen
     0.00%  ml       libc.so.6                  [.] strrchr
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__timepunct<char>::__timepunct(std::__timepunct_cache<char>*, unsigned long)
     0.00%  ml       ml                         [.] std::ostream::put(char)@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_debug_initialize
     0.00%  ml       libc.so.6                  [.] __libc_early_init
     0.00%  ml       libc.so.6                  [.] __mempcpy
     0.00%  ml       libc.so.6                  [.] clock_gettime@@GLIBC_2.17
     0.00%  ml       libc.so.6                  [.] memcpy@@GLIBC_2.14
     0.00%  ml       libc.so.6                  [.] memmove
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::messages<char>::messages(unsigned long)
     0.00%  ml       ml                         [.] std::__basic_file<char>::is_open() const@plt
     0.00%  ml       ml                         [.] std::__basic_file<char>::~__basic_file()@plt
     0.00%  ml       ml                         [.] std::basic_ios<char, std::char_traits<char> >::clear(std::_Ios_Iostate)@plt
     0.00%  ml       ml                         [.] std::ios_base::~ios_base()@plt
     0.00%  ml       ml                         [.] std::istream::read(char*, long)@plt
     0.00%  ml       ml                         [.] std::locale::~locale()@plt
     0.00%  ml       ml                         [.] std::ostream::flush()@plt
     0.00%  ml       libc.so.6                  [.] _IO_file_close
     0.00%  ml       libc.so.6                  [.] __rawmemchr
     0.00%  ml       libc.so.6                  [.] __wmemcmp_ifunc
     0.00%  ml       libc.so.6                  [.] free@plt
     0.00%  ml       libc.so.6                  [.] memchr
     0.00%  ml       libc.so.6                  [.] memcmp
     0.00%  ml       libc.so.6                  [.] strchr@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] fclose@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] fileno@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] operator delete[](void*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] operator new[](unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] read@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::_M_allocate_internal_buffer()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::_M_destroy_internal_buffer()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::_M_call_callbacks(std::ios_base::event)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ios_base::_M_dispose_callbacks()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::istream::sentry::sentry(std::istream&, bool)@plt
     0.00%  ml       ml                         [.] std::basic_filebuf<char, std::char_traits<char> >::close()@plt
     0.00%  ml       libc.so.6                  [.] __ctype_init
     0.00%  ml       libc.so.6                  [.] __pthread_tunables_init
     0.00%  ml       libc.so.6                  [.] __strrchr_avx2
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::fd()
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::fd()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::xsgetn(char*, long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_filebuf<char, std::char_traits<char> >::_M_terminate_output()@plt
     0.00%  ml       ml                         [.] operator delete[](void*)@plt
     0.00%  ml       libc.so.6                  [.] strchr
     0.00%  ml       libc.so.6                  [.] strcmp
     0.00%  ml       libstdc++.so.6.0.29        [.] std::codecvt<char, char, __mbstate_t>::codecvt(unsigned long)
     0.00%  ml       ml                         [.] operator new(unsigned long)@plt
     0.00%  ml       ml                         [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] __GI___open64_nocancel
     0.00%  ml       libc.so.6                  [.] __munmap
     0.00%  ml       libc.so.6                  [.] __strcasecmp
     0.00%  ml       libc.so.6                  [.] __strcasecmp_l
     0.00%  ml       libc.so.6                  [.] __strncasecmp_ifunc
     0.00%  ml       libc.so.6                  [.] __strncasecmp_l
     0.00%  ml       libc.so.6                  [.] __wcslen_ifunc
     0.00%  ml       libc.so.6                  [.] __wcsnlen_ifunc
     0.00%  ml       libc.so.6                  [.] _init_first
     0.00%  ml       libc.so.6                  [.] strncmp
     0.00%  ml       libstdc++.so.6.0.29        [.] bool std::has_facet<std::codecvt<char, char, __mbstate_t> >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::__basic_file(pthread_mutex_t*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::codecvt<char, char, __mbstate_t> const& std::use_facet<std::codecvt<char, char, __mbstate_t> >(std::locale const&)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<wchar_t>::ctype(unsigned long)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::_Impl::_M_install_facet(std::locale::id const*, std::locale::facet const*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream::operator<<(int)
     0.00%  ml       ml                         [.] std::basic_filebuf<char, std::char_traits<char> >::basic_filebuf()@plt
     0.00%  ml       ml                         [.] std::ios_base::ios_base()@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_protect_relro
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_start_user
     0.00%  ml       libc.so.6                  [.] __cxa_atexit
     0.00%  ml       libc.so.6                  [.] __stpcpy
     0.00%  ml       libc.so.6                  [.] __stpncpy
     0.00%  ml       libc.so.6                  [.] _pthread_cleanup_push@@GLIBC_2.34
     0.00%  ml       libc.so.6                  [.] fopen@@GLIBC_2.2.5
     0.00%  ml       libc.so.6                  [.] malloc@plt
     0.00%  ml       libc.so.6                  [.] strcat
     0.00%  ml       libc.so.6                  [.] strcpy
     0.00%  ml       libc.so.6                  [.] strncpy
     0.00%  ml       libstdc++.so.6.0.29        [.] fopen64@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__basic_file<char>::open(char const*, std::_Ios_Openmode, int)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0be0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0be3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0be8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0bef
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0bf3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0bf6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0c60
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000d0c67
     0.00%  ml       ml                         [.] memcpy@plt
     0.00%  ml       ml                         [.] std::basic_filebuf<char, std::char_traits<char> >::open(char const*, std::_Ios_Openmode)@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_start
     0.00%  ml       ld-linux-x86-64.so.2       [.] strdup
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_receive_error
     0.00%  ml       ml                         [.] ML::FlattenLayer::allocLayer()
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_check_all_versions
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_unload_cache
     0.00%  ml       ld-linux-x86-64.so.2       [.] cache_rpath
     0.00%  ml       libstdc++.so.6.0.29        [.] __cxa_atexit@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::error_category::error_category()
     0.00%  ml       ml                         [.] register_tm_clones
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_assign_tls_modid
     0.00%  ml       ld-linux-x86-64.so.2       [.] rtld_mutex_dummy
     0.00%  ml       libc.so.6                  [.] check_stdfiles_vtables
     0.00%  ml       libstdc++.so.6.0.29        [.] std::basic_streambuf<char, std::char_traits<char> >::xsgetn(char*, long)@plt
     0.00%  ml       ml                         [.] _start
     0.00%  ml       ld-linux-x86-64.so.2       [.] __GI___pread64_nocancel
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_audit_activity_nsid
     0.00%  ml       libc.so.6                  [.] __brk
     0.00%  ml       libc.so.6                  [.] __strlen_avx2
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::facet::_S_create_c_locale(__locale_struct*&, char const*, __locale_struct*)
     0.00%  ml       ml                         [.] memmove@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_audit_objopen
     0.00%  ml       ld-linux-x86-64.so.2       [.] rtld_free
     0.00%  ml       libc.so.6                  [.] __wcscpy_ifunc
     0.00%  ml       libc.so.6                  [.] strcspn
     0.00%  ml       libc.so.6                  [.] strpbrk
     0.00%  ml       libc.so.6                  [.] strspn
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::facet::_S_get_c_locale()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::facet::_S_get_c_name()
     0.00%  ml       ml                         [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)@plt
     0.00%  ml       ld-linux-x86-64.so.2       [.] version_check_doit
     0.00%  ml       libc.so.6                  [.] __getrlimit
     0.00%  ml       ml                         [.] _init
     0.00%  ml       ld-linux-x86-64.so.2       [.] __GI___close_nocancel
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_sysdep_start
     0.00%  ml       ld-linux-x86-64.so.2       [.] fstat64
     0.00%  ml       libc.so.6                  [.] _pthread_cleanup_pop@GLIBC_2.2.5
     0.00%  ml       libstdc++.so.6.0.29        [.] std::future_category()
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4e6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4ea
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4ed
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4f1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4f5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4f8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4fb
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a501
     0.00%  ml       [vdso]                     [.] 0x0000000000000aff
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::facet::_S_get_c_name()@plt
     0.00%  ml       ml                         [.] _GLOBAL__sub_I__ZN2ML13buildToyModelENS_4PathE
     0.00%  ml       ml                         [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct(unsigned long, char)@plt
     0.00%  ml       ml                         [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)@plt
     0.00%  ml       ml                         [.] std::chrono::_V2::steady_clock::now()@plt
     0.00%  ml       [vdso]                     [.] 0x0000000000000ab0
     0.00%  ml       [vdso]                     [.] 0x0000000000000ab4
     0.00%  ml       [vdso]                     [.] 0x0000000000000ab6
     0.00%  ml       [vdso]                     [.] 0x0000000000000ab8
     0.00%  ml       [vdso]                     [.] 0x0000000000000aba
     0.00%  ml       [vdso]                     [.] 0x0000000000000abc
     0.00%  ml       [vdso]                     [.] 0x0000000000000abd
     0.00%  ml       [vdso]                     [.] 0x0000000000000ac0
     0.00%  ml       [vdso]                     [.] 0x0000000000000ac4
     0.00%  ml       [vdso]                     [.] 0x0000000000000acd
     0.00%  ml       [vdso]                     [.] 0x0000000000000ad4
     0.00%  ml       [vdso]                     [.] 0x0000000000000adb
     0.00%  ml       [vdso]                     [.] 0x0000000000000adf
     0.00%  ml       [vdso]                     [.] 0x0000000000000aeb
     0.00%  ml       [vdso]                     [.] 0x0000000000000af5
     0.00%  ml       [vdso]                     [.] 0x0000000000000af8
     0.00%  ml       [vdso]                     [.] 0x0000000000000afc
     0.00%  ml       [vdso]                     [.] 0x0000000000000b02
     0.00%  ml       [vdso]                     [.] 0x0000000000000b0c
     0.00%  ml       [vdso]                     [.] 0x0000000000000b10
     0.00%  ml       [vdso]                     [.] 0x0000000000000b15
     0.00%  ml       [vdso]                     [.] 0x0000000000000b1a
     0.00%  ml       [vdso]                     [.] 0x0000000000000b1e
     0.00%  ml       [vdso]                     [.] 0x0000000000000b21
     0.00%  ml       [vdso]                     [.] 0x0000000000000b24
     0.00%  ml       [vdso]                     [.] 0x0000000000000b28
     0.00%  ml       [vdso]                     [.] 0x0000000000000b2f
     0.00%  ml       [vdso]                     [.] 0x0000000000000b33
     0.00%  ml       [vdso]                     [.] 0x0000000000000b36
     0.00%  ml       [vdso]                     [.] 0x0000000000000b3b
     0.00%  ml       [vdso]                     [.] 0x0000000000000b3d
     0.00%  ml       [vdso]                     [.] 0x0000000000000b41
     0.00%  ml       [vdso]                     [.] 0x0000000000000b44
     0.00%  ml       [vdso]                     [.] 0x0000000000000b48
     0.00%  ml       [vdso]                     [.] 0x0000000000000b4c
     0.00%  ml       [vdso]                     [.] 0x0000000000000b4f
     0.00%  ml       [vdso]                     [.] 0x0000000000000b54
     0.00%  ml       [vdso]                     [.] 0x0000000000000b5d
     0.00%  ml       [vdso]                     [.] 0x0000000000000b75
     0.00%  ml       [vdso]                     [.] 0x0000000000000b78
     0.00%  ml       [vdso]                     [.] 0x0000000000000b7e
     0.00%  ml       [vdso]                     [.] 0x0000000000000b82
     0.00%  ml       [vdso]                     [.] 0x0000000000000b83
     0.00%  ml       [vdso]                     [.] 0x0000000000000b85
     0.00%  ml       [vdso]                     [.] 0x0000000000000b87
     0.00%  ml       [vdso]                     [.] 0x0000000000000b89
     0.00%  ml       [vdso]                     [.] 0x0000000000000b8b
     0.00%  ml       [vdso]                     [.] 0x0000000000000b8c
     0.00%  ml       ld-linux-x86-64.so.2       [.] __GI___read_nocancel
     0.00%  ml       ld-linux-x86-64.so.2       [.] mempcpy
     0.00%  ml       ld-linux-x86-64.so.2       [.] mprotect
     0.00%  ml       ld-linux-x86-64.so.2       [.] munmap
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000003000
     0.00%  ml       libm.so.6                  [.] 0x000000000000d000
     0.00%  ml       libstdc++.so.6.0.29        [.] clock_gettime@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] operator delete(void*)
     0.00%  ml       libstdc++.so.6.0.29        [.] operator new[](unsigned long)
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::error_category::error_category()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream& std::ostream::_M_insert<long>(long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream::flush()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostream::put(char)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x0000000000099000
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cbe
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9cd7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f4b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9f50
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000aa2d0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4ca
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a4cf
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a509
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a50d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a50f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a512
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012a514
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bde4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bde6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bde8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bde9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bded
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bdf1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012bdf8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be00
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be03
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be07
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be0b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be0f
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be14
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be18
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be19
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be1a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be1c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000012be1e
     0.00%  ml       ml                         [.] std::basic_ostream<char, std::char_traits<char> >& std::endl<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&)@plt
     0.00%  ml       ml                         [.] std::ios_base::Init::Init()@plt
     0.00%  ml       ml                         [.] std::ostream::operator<<(int)@plt
     0.00%  ml       [vdso]                     [.] __vdso_clock_gettime
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_debug_state
     0.00%  ml       ld-linux-x86-64.so.2       [.] _dl_sysdep_start_cleanup
     0.00%  ml       libc.so.6                  [.] strrchr@plt
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000003004
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000003008
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000003012
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000003016
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000301a
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000004610
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000004617
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000461e
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000004624
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000004628
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000462c
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x000000000000462f
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000004632
     0.00%  ml       libgcc_s-11-20240719.so.1  [.] 0x0000000000004648
     0.00%  ml       libm.so.6                  [.] 0x000000000000d004
     0.00%  ml       libm.so.6                  [.] 0x000000000000d008
     0.00%  ml       libm.so.6                  [.] 0x000000000000d012
     0.00%  ml       libm.so.6                  [.] 0x000000000000d016
     0.00%  ml       libm.so.6                  [.] 0x000000000000d01a
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3d0
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3d7
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3de
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3e4
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3e8
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3ec
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3ef
     0.00%  ml       libm.so.6                  [.] 0x000000000000d3f2
     0.00%  ml       libm.so.6                  [.] 0x000000000000d408
     0.00%  ml       libstdc++.so.6.0.29        [.] __newlocale@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] __uselocale@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::messages<char>::messages(unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::moneypunct<char, false>::_M_initialize_moneypunct(__locale_struct*, char const*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::moneypunct<char, true>::_M_initialize_moneypunct(__locale_struct*, char const*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__cxx11::numpunct<char>::_M_initialize_numpunct(__locale_struct*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__timepunct<char>::_M_initialize_timepunct(__locale_struct*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::__timepunct<char>::__timepunct(std::__timepunct_cache<char>*, unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::codecvt<char, char, __mbstate_t>::codecvt(unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<char>::ctype(unsigned short const*, bool, unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<wchar_t>::_M_initialize_ctype()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::ctype<wchar_t>::ctype(unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::future_category()@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::_Impl::_Impl(unsigned long)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] std::locale::facet::_S_create_c_locale(__locale_struct*&, char const*, __locale_struct*)@plt
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x0000000000099004
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x0000000000099008
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x0000000000099012
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x0000000000099016
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x000000000009901a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a74
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a76
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a7d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a7e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a88
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a8c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9a97
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9aa2
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9aa9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ab0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ab7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9abe
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ac6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ad1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ad6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ae3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9aea
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9aee
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9af5
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9af6
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b04
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b08
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b0d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b14
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b17
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b1b
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b24
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b2c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b31
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b3c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b47
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b4e
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b55
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b5a
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b61
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b66
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b6d
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b74
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b7c
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9b80
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9ba4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bab
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bae
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bb0
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bb3
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bba
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bc1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bc9
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bd1
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bd8
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bdb
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9bdd
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9be4
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9be7
     0.00%  ml       libstdc++.so.6.0.29        [.] 0x00000000000a9be9
